epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,475.626,1.39369,2.37147,1.55474,0.11588,0.15142,0.04485,0.01817,2.31703,4.08858,2.33808,0.000555067,0.000555067,0.000555067
2,903.916,1.46915,1.91073,1.61388,0.237,0.23227,0.13963,0.05632,2.2684,2.71864,2.15782,0.00108874,0.00108874,0.00108874
3,1347.14,1.49214,1.86144,1.63638,0.3996,0.2392,0.18184,0.07418,2.32541,2.86868,2.44762,0.00160041,0.00160041,0.00160041
4,1786.87,1.44405,1.75746,1.59794,0.4939,0.33304,0.33191,0.1457,2.0994,2.5479,2.01022,0.00156798,0.00156798,0.00156798
5,2214.92,1.36891,1.61615,1.53217,0.51436,0.34881,0.36233,0.14461,2.17311,2.19688,2.04615,0.00153497,0.00153497,0.00153497
6,2592.74,1.32672,1.52899,1.4935,0.52476,0.36444,0.37167,0.16358,2.09594,2.0399,2.00389,0.00150197,0.00150197,0.00150197
7,3031.31,1.29561,1.46478,1.46533,0.5687,0.3983,0.39917,0.16733,2.09739,2.07444,1.96503,0.00146896,0.00146896,0.00146896
8,3396.54,1.27966,1.41626,1.465,0.55277,0.42152,0.42346,0.19741,2.03053,1.93499,1.95099,0.00143595,0.00143595,0.00143595
9,3626.14,1.25039,1.33714,1.4396,0.5023,0.48094,0.4527,0.20793,1.87606,1.86203,1.79776,0.00140295,0.00140295,0.00140295
10,3848.9,1.23281,1.30712,1.42007,0.61335,0.51467,0.53639,0.25183,1.91576,1.72471,1.8981,0.00136994,0.00136994,0.00136994
11,4061.62,1.2151,1.2871,1.40897,0.59701,0.51911,0.52059,0.24364,1.8554,1.81612,1.80058,0.00133693,0.00133693,0.00133693
12,4260.24,1.19762,1.22242,1.38972,0.60303,0.52004,0.51879,0.24584,1.92577,1.75665,1.80626,0.00130393,0.00130393,0.00130393
13,4496.13,1.17883,1.1978,1.37728,0.62197,0.51063,0.52839,0.25401,1.86771,1.67784,1.81493,0.00127092,0.00127092,0.00127092
14,4759.81,1.16707,1.17604,1.37442,0.6989,0.51574,0.58851,0.27313,1.86619,1.64312,1.79046,0.00123791,0.00123791,0.00123791
15,5003.95,1.16214,1.1444,1.35965,0.62296,0.57365,0.59723,0.28223,1.82323,1.62641,1.75704,0.00120491,0.00120491,0.00120491
16,5249.15,1.14805,1.11662,1.3459,0.64222,0.54944,0.58395,0.26911,1.85854,1.5589,1.75889,0.0011719,0.0011719,0.0011719
17,5501.31,1.1442,1.12654,1.34417,0.71466,0.56594,0.62441,0.29556,1.80134,1.51312,1.71767,0.00113889,0.00113889,0.00113889
18,5863.91,1.13677,1.09001,1.33253,0.65784,0.58894,0.6113,0.30876,1.79759,1.52501,1.71175,0.00110589,0.00110589,0.00110589
19,6214.89,1.10255,1.05178,1.3135,0.6898,0.58957,0.63891,0.31068,1.85008,1.51314,1.7782,0.00107288,0.00107288,0.00107288
20,6565.77,1.10661,1.04407,1.31608,0.68242,0.59321,0.63101,0.31167,1.79639,1.46284,1.71852,0.00103987,0.00103987,0.00103987
21,6920.33,1.08893,1.025,1.30215,0.73359,0.55209,0.6239,0.31391,1.79376,1.47321,1.70904,0.00100687,0.00100687,0.00100687
22,7304.82,1.07765,1.01057,1.30489,0.72801,0.56595,0.64648,0.32932,1.75076,1.42322,1.68195,0.000973861,0.000973861,0.000973861
23,7654.69,1.08134,0.99963,1.29625,0.72001,0.56052,0.65483,0.33303,1.7713,1.48737,1.70585,0.000940855,0.000940855,0.000940855
24,8020.76,1.07053,0.99225,1.28823,0.69023,0.60978,0.65578,0.33938,1.78482,1.41789,1.68962,0.000907848,0.000907848,0.000907848
25,8398.97,1.07454,0.9751,1.28764,0.71325,0.60355,0.66791,0.33956,1.74282,1.38071,1.64819,0.000874842,0.000874842,0.000874842
26,8592.7,1.04265,0.93812,1.27776,0.72095,0.64208,0.70294,0.37373,1.72197,1.29838,1.6402,0.000841835,0.000841835,0.000841835
27,8671.87,1.04643,0.9241,1.26535,0.72653,0.62024,0.65855,0.35533,1.68665,1.31562,1.61499,0.000808828,0.000808828,0.000808828
28,8749.58,1.04423,0.91991,1.26842,0.77922,0.6079,0.69241,0.35768,1.74896,1.33521,1.65218,0.000775822,0.000775822,0.000775822
29,8826.54,1.02809,0.9039,1.2589,0.76317,0.6378,0.70219,0.37753,1.65668,1.27991,1.57893,0.000742815,0.000742815,0.000742815
30,8903.13,1.01938,0.88979,1.24919,0.73459,0.69014,0.72405,0.3678,1.71203,1.24162,1.63695,0.000709809,0.000709809,0.000709809
31,8980.56,1.01847,0.88542,1.24756,0.77388,0.64974,0.71974,0.37919,1.72918,1.24858,1.65604,0.000676802,0.000676802,0.000676802
32,9058.88,1.01061,0.8749,1.24564,0.71406,0.69097,0.71583,0.39174,1.68016,1.20169,1.6035,0.000643795,0.000643795,0.000643795
33,9138.24,0.99834,0.84824,1.23459,0.78061,0.63961,0.70515,0.38168,1.64188,1.22744,1.56475,0.000610789,0.000610789,0.000610789
34,9216.33,0.99652,0.84456,1.22976,0.81592,0.64491,0.74351,0.39413,1.67866,1.19774,1.59365,0.000577782,0.000577782,0.000577782
35,9295.02,0.99074,0.835,1.23181,0.77116,0.64547,0.73447,0.3934,1.63117,1.19406,1.5614,0.000544776,0.000544776,0.000544776
36,9373.56,0.97955,0.82647,1.21864,0.82978,0.6441,0.74079,0.40382,1.64626,1.19218,1.55337,0.000511769,0.000511769,0.000511769
37,9452.23,0.98646,0.81182,1.22198,0.80139,0.64283,0.72926,0.40475,1.64208,1.19227,1.54113,0.000478762,0.000478762,0.000478762
38,9755.58,0.97007,0.7974,1.2105,0.75346,0.6781,0.73864,0.38863,1.67549,1.20393,1.56461,0.000445756,0.000445756,0.000445756
39,10117.7,0.96989,0.7905,1.20364,0.76905,0.71679,0.75505,0.40454,1.69308,1.1509,1.59189,0.000412749,0.000412749,0.000412749
40,10474.4,0.94255,0.78117,1.19507,0.72268,0.70951,0.74857,0.41379,1.6449,1.17086,1.55917,0.000379743,0.000379743,0.000379743
